outcome,spec,estimate,std_error,p_value,n_obs
grant,baseline_no_applicant_FE,0.2970879518970181,0.03182275153074078,0.0,2549296
grant,with_applicant_FE,0.22127761753889563,0.025901726585048294,2.220446049250313e-16,2549296
log1p_grant_delay_days,baseline_no_applicant_FE,-0.20400909186910385,0.09783193582580024,0.03745774369112431,1612067
log1p_grant_delay_days,with_applicant_FE,-0.07551976000223092,0.06632352986232239,0.2552946395812885,1612067
log1p_backward_cites,baseline_no_applicant_FE,-0.3849043593192091,0.10788357847574821,0.0003880530808595406,2549296
log1p_backward_cites,with_applicant_FE,-0.4104369866370375,0.1292620515726728,0.0015720190804837664,2549296
log1p_reject_cites,baseline_no_applicant_FE,-0.4425820015266659,0.11612347208420935,0.00015214229492332976,2549296
log1p_reject_cites,with_applicant_FE,-0.43584880361941086,0.13424136622642124,0.001230744002310713,2549296
log1p_forward_cites,baseline_no_applicant_FE,0.20249722167864337,0.07916580176144095,0.010769589830204707,2549296
log1p_forward_cites,with_applicant_FE,0.15709602741027764,0.044376788842823846,0.0004302750709654912,2549296
log1p_inventor_count,baseline_no_applicant_FE,0.15301200875051768,0.0579991019030708,0.00854622460184884,2549296
log1p_inventor_count,with_applicant_FE,0.07847085973477527,0.052269376843816724,0.1337969257939724,2549296
log1p_applicant_count,baseline_no_applicant_FE,-0.018838180427784495,0.005153939181912462,0.0002790516317141556,2549296
log1p_applicant_count,with_applicant_FE,-0.017835672856357423,0.002832519115041842,5.78587844302092e-10,2549296
has_reject_cite,baseline_no_applicant_FE,-0.22427709438773832,0.06540445886753249,0.0006461323024109511,2549296
has_reject_cite,with_applicant_FE,-0.2392188134447994,0.07471507266292815,0.0014364220816771578,2549296
