outcome,model,estimate,std_error,p_value,n_obs
backward_cites,log1p_OLS,-0.37844431408757495,0.10014414837249079,0.00017268272354753478,2637803
backward_cites,Poisson_PML,-0.4900017282904819,0.1534491541612279,0.0014068040519918945,2637803
forward_cites,log1p_OLS,0.22377618493555396,0.07293377788135696,0.0022475498910674574,2637803
forward_cites,Poisson_PML,0.700116364382967,0.18992660299868794,0.00022758550328849658,2637803
reject_cites,log1p_OLS,-0.46382363745467786,0.10219413451394697,6.803488774353994e-06,2637803
reject_cites,Poisson_PML,-0.7067865742990957,0.2518679652145436,0.005013284723774936,2637803
inventor_count,log1p_OLS,0.15705262646251864,0.05297272825550383,0.00314552981124816,2637803
inventor_count,Poisson_PML,0.18743874882051045,0.06267860876512209,0.002785448562627524,2637803
applicant_count,log1p_OLS,-0.021196932726163433,0.004806780038154584,1.2200191067845978e-05,2637803
applicant_count,Poisson_PML,-0.05377829331976049,0.011674166149549475,4.092928641785676e-06,2637803
