variable,estimate,std_error,p_value,n_obs,interaction_with,outcome
ai_core,0.3921429764180801,0.03357900527907655,0.0,2637803,corp,grant
first_is_corporation,0.14396977316249687,0.009802131756887097,0.0,2637803,corp,grant
ai_x_corp,-0.0943018349674064,0.012309411938926505,7.149836278586008e-14,2637803,corp,grant
ai_core,-0.6999103825964722,0.11189919860783223,7.460672080128461e-10,1656342,corp,log1p_grant_delay_days
first_is_corporation,0.33795363712650955,0.034706792772263,0.0,1656342,corp,log1p_grant_delay_days
ai_x_corp,0.5044687295132783,0.0608267704824271,6.661338147750939e-16,1656342,corp,log1p_grant_delay_days
ai_core,0.35743204421685754,0.10876966506690393,0.0010731207848908575,2637803,corp,log1p_backward_cites
first_is_corporation,0.3069066103445363,0.02819372222899179,0.0,2637803,corp,log1p_backward_cites
ai_x_corp,-0.7897103328524114,0.03840143575743067,0.0,2637803,corp,log1p_backward_cites
ai_core,0.16442339126609662,0.11929515489828885,0.16861154460771166,2637803,corp,log1p_reject_cites
first_is_corporation,0.20890199031099166,0.013698816911721791,0.0,2637803,corp,log1p_reject_cites
ai_x_corp,-0.6742072422435003,0.03652847460690564,0.0,2637803,corp,log1p_reject_cites
ai_core,0.30381078687205426,0.07804998975770461,0.00010998069983303438,2637803,corp,log1p_forward_cites
first_is_corporation,0.08084930922898252,0.024655326268616745,0.0010994540516973128,2637803,corp,log1p_forward_cites
ai_x_corp,-0.0858896354281792,0.029481253328155883,0.00370457368676802,2637803,corp,log1p_forward_cites
ai_core,0.05298580888752488,0.05155840321839943,0.30449933083553415,2637803,corp,log1p_inventor_count
first_is_corporation,0.3325686111000707,0.0078729184780123,0.0,2637803,corp,log1p_inventor_count
ai_x_corp,0.11167963244577055,0.009045638138679932,0.0,2637803,corp,log1p_inventor_count
ai_core,-0.05969099597184628,0.006176990225412381,0.0,2637803,corp,log1p_applicant_count
first_is_corporation,-0.05264401578585692,0.004288554484421276,0.0,2637803,corp,log1p_applicant_count
ai_x_corp,0.04131021630690075,0.003805542972448226,0.0,2637803,corp,log1p_applicant_count
ai_core,0.28161376450868497,0.031144590093613724,0.0,2637803,domestic,grant
domestic_first_applicant,-0.020447069100863875,0.007976664717358051,0.010601541283101312,2637803,domestic,grant
ai_x_domestic,0.03437302857446162,0.008440733790085624,5.25999285974077e-05,2637803,domestic,grant
ai_core,-0.25376907506503066,0.0906174721103578,0.005263858559103385,1656342,domestic,log1p_grant_delay_days
domestic_first_applicant,-0.12004108719994327,0.012816200987881072,0.0,1656342,domestic,log1p_grant_delay_days
ai_x_domestic,0.03555198042539687,0.017225007252903126,0.03943967853889596,1656342,domestic,log1p_grant_delay_days
ai_core,-0.5484577020936771,0.09669609439329582,2.1680205186669355e-08,2637803,domestic,log1p_backward_cites
domestic_first_applicant,-0.16431484401043317,0.022880050993664417,1.98463467881993e-12,2637803,domestic,log1p_backward_cites
ai_x_domestic,0.2579409492888213,0.023291257897522996,0.0,2637803,domestic,log1p_backward_cites
ai_core,-0.5973144056654032,0.09507579552439027,6.281879461056405e-10,2637803,domestic,log1p_reject_cites
domestic_first_applicant,-0.20537904505483612,0.01829606129218791,0.0,2637803,domestic,log1p_reject_cites
ai_x_domestic,0.20252955298045475,0.020375975616160374,0.0,2637803,domestic,log1p_reject_cites
ai_core,0.18664260950007533,0.07048425954264084,0.008303197317181654,2637803,domestic,log1p_forward_cites
domestic_first_applicant,0.19005562172788668,0.008760045211874231,0.0,2637803,domestic,log1p_forward_cites
ai_x_domestic,0.05633832612036193,0.011225458209628525,6.805298766732193e-07,2637803,domestic,log1p_forward_cites
ai_core,0.18404636930844812,0.049397550053105775,0.0002124879702942728,2637803,domestic,log1p_inventor_count
domestic_first_applicant,-0.14797685859101253,0.011167885896198477,0.0,2637803,domestic,log1p_inventor_count
ai_x_domestic,-0.04095477243424264,0.013217460788341625,0.002032950782788978,2637803,domestic,log1p_inventor_count
ai_core,-0.020987665415685215,0.004919793630911919,2.3019104434141013e-05,2637803,domestic,log1p_applicant_count
