variable,estimate,std_error,p_value,n_obs,period,outcome
ai_core,0.40012327364001077,0.03059001278954407,0.0,1512978,pre_boom_2010_2014,grant
ai_core,0.06379495578191577,0.12242815142060492,0.6025021233141787,920226,pre_boom_2010_2014,log1p_grant_delay_days
ai_core,-0.25679509454356786,0.3579606930387822,0.47341346783950145,1512978,pre_boom_2010_2014,log1p_backward_cites
ai_core,-0.2926666515740694,0.34442576477854636,0.39581386913665284,1512978,pre_boom_2010_2014,log1p_reject_cites
ai_core,0.1838946540181292,0.1101467144385287,0.09552544751505265,1512978,pre_boom_2010_2014,log1p_forward_cites
ai_core,0.03842435723391458,0.00175317468232909,0.0,1512978,pre_boom_2010_2014,log1p_inventor_count
ai_core,-0.024570277571537073,0.005529941632905495,1.0538359090261906e-05,1512978,pre_boom_2010_2014,log1p_applicant_count
ai_core,0.27905902180741793,0.0360054448342058,3.8413716652030416e-14,1124825,post_boom_2015_2018,grant
ai_core,-0.3003446936217488,0.103921042868491,0.003988955805904526,736116,post_boom_2015_2018,log1p_grant_delay_days
ai_core,-0.37711574355058003,0.10976237514466927,0.0006309993950259773,1124825,post_boom_2015_2018,log1p_backward_cites
ai_core,-0.48087854107213374,0.10540859200620034,6.124368834292682e-06,1124825,post_boom_2015_2018,log1p_reject_cites
ai_core,0.22845342896106866,0.08681719578952612,0.008717253341588904,1124825,post_boom_2015_2018,log1p_forward_cites
ai_core,0.17953037161942592,0.07083441691025924,0.01150904840135425,1124825,post_boom_2015_2018,log1p_inventor_count
ai_core,-0.020545524703191403,0.005637495584302211,0.00029077173421576674,1124825,post_boom_2015_2018,log1p_applicant_count
