variable,estimate,std_error,p_value,n_obs,sub_sample,outcome
ai_core,0.28839907908390305,0.03262558399436902,0.0,2552147,corporate,grant
ai_core,-0.18077687907768122,0.10891616820583142,0.09747099277913396,1616474,corporate,log1p_grant_delay_days
ai_core,-0.4316251340491988,0.09150961182590815,2.9675373200976907e-06,2552147,corporate,log1p_backward_cites
ai_core,-0.5012117779574476,0.09093110964448357,5.2218430912631675e-08,2552147,corporate,log1p_reject_cites
ai_core,0.22090793300509556,0.08120863750013464,0.006707340448746102,2552147,corporate,log1p_forward_cites
ai_core,0.16909653013114484,0.058330906106869515,0.003877828871992728,2552147,corporate,log1p_inventor_count
ai_core,-0.018059031731604624,0.005201118974588555,0.0005524743214224692,2552147,corporate,log1p_applicant_count
ai_core,0.6203276129387149,0.0478014592468914,0.0,66865,individual,grant
ai_core,-0.5872907966665809,0.6953344522358076,0.39871428223490857,28131,individual,log1p_grant_delay_days
ai_core,0.42074808005026826,0.722631349302337,0.5606338993289286,66865,individual,log1p_backward_cites
ai_core,0.0016940600408851673,0.7965319322699699,0.9983038138411333,66865,individual,log1p_reject_cites
ai_core,0.4392743834263607,0.3287295437412198,0.1819950600999629,66865,individual,log1p_forward_cites
ai_core,-0.04068173586192699,0.00785794845242509,3.1353059193328647e-07,66865,individual,log1p_inventor_count
ai_core,-0.018962257742576403,0.010088741181072438,0.06068340121611482,66865,individual,log1p_applicant_count
ai_core,0.31728323124689256,0.05117113989483926,1.0311431708487362e-09,2100886,domestic,grant
ai_core,-0.34344561299284504,0.14608018053493352,0.019036499362660164,1306637,domestic,log1p_grant_delay_days
ai_core,-0.2871464627911161,0.14662032110989856,0.05062905517308991,2100886,domestic,log1p_backward_cites
ai_core,-0.3489725657113783,0.18512291870289524,0.059887941920955035,2100886,domestic,log1p_reject_cites
ai_core,0.37077467512088613,0.10817930432603667,0.0006499117180276404,2100886,domestic,log1p_forward_cites
ai_core,0.22598002026206213,0.07723589178352093,0.0035615706349294562,2100886,domestic,log1p_inventor_count
ai_core,-0.026126800310767143,0.006332889871425355,4.2056284833558166e-05,2100886,domestic,log1p_applicant_count
ai_core,0.2678955079325257,0.010144250366675682,0.0,536917,foreign,grant
ai_core,0.049716727333604216,0.04497658876629159,0.2694421776953655,349705,foreign,log1p_grant_delay_days
ai_core,-0.5187508237571355,0.14271265635242816,0.00030195432641222375,536917,foreign,log1p_backward_cites
ai_core,-0.6632179654684607,0.17588114401706745,0.0001788378321234685,536917,foreign,log1p_reject_cites
ai_core,0.005861584619717626,0.04784688989054098,0.9025384982777795,536917,foreign,log1p_forward_cites
ai_core,-0.020983862170402413,0.08525734496767369,0.8056707098875484,536917,foreign,log1p_inventor_count
ai_core,-0.012597438705644263,0.001952001682857986,2.255919895333136e-10,536917,foreign,log1p_applicant_count
