variable,estimate,std_error,p_value,n_obs,spec,outcome
ai_core,0.3029066090236408,0.03033415528744572,0.0,2637803,top50_applicants,grant
is_top_applicant,-0.02229174505096935,0.004761221535869,3.4942895299483467e-06,2637803,top50_applicants,grant
ai_x_top,7.391279164510602e-05,0.005193716509312481,0.9886501181137413,2637803,top50_applicants,grant
ai_core,-0.2825192696225686,0.08931089919037345,0.0016368070118504274,1656342,top50_applicants,log1p_grant_delay_days
is_top_applicant,0.018236335474814607,0.015228117973758523,0.23155684169179436,1656342,top50_applicants,log1p_grant_delay_days
ai_x_top,0.15235943628739912,0.015974951070689858,0.0,1656342,top50_applicants,log1p_grant_delay_days
ai_core,-0.37391520177072557,0.10215905030776051,0.0002736073229330227,2637803,top50_applicants,log1p_backward_cites
is_top_applicant,-0.0641711704901553,0.012122149274049133,1.6667446400830954e-07,2637803,top50_applicants,log1p_backward_cites
ai_x_top,-0.023034480795566917,0.015786167502409073,0.14502943459643558,2637803,top50_applicants,log1p_backward_cites
ai_core,-0.4516066431428777,0.10453037616549435,1.8145789867141104e-05,2637803,top50_applicants,log1p_reject_cites
is_top_applicant,-0.061246697232733925,0.010124981679111958,2.52192511318583e-09,2637803,top50_applicants,log1p_reject_cites
ai_x_top,-0.04369585665489896,0.01362283798551793,0.0014078011244640365,2637803,top50_applicants,log1p_reject_cites
ai_core,0.24966833913918865,0.07256757613451541,0.0006197187578771413,2637803,top50_applicants,log1p_forward_cites
is_top_applicant,0.001834390833736184,0.005394568166635149,0.7339387074667199,2637803,top50_applicants,log1p_forward_cites
ai_x_top,-0.07090705515701465,0.00845210870175284,4.440892098500626e-16,2637803,top50_applicants,log1p_forward_cites
ai_core,0.17305870144025703,0.05224744680356672,0.0009792452711998578,2637803,top50_applicants,log1p_inventor_count
is_top_applicant,0.01918223644604301,0.009129117110221926,0.036025809619714355,2637803,top50_applicants,log1p_inventor_count
ai_x_top,-0.041013931785308835,0.013451535297731156,0.002393944402057757,2637803,top50_applicants,log1p_inventor_count
ai_core,-0.024719012382467584,0.004608434575033412,1.1521819165416503e-07,2637803,top50_applicants,log1p_applicant_count
is_top_applicant,-0.017099462013364552,0.001704588508505118,0.0,2637803,top50_applicants,log1p_applicant_count
ai_x_top,0.007064015844512871,0.0017165483858108512,4.391389728120032e-05,2637803,top50_applicants,log1p_applicant_count
