outcome,se_type,estimate,std_error,t_value,p_value,n_obs
grant,1way_class1,0.3042696284189603,0.0315867881769975,9.632813146875728,0.0,2637803
grant,2way_class1_year,0.3042696284189603,0.03635130160167651,8.37025402152113,3.1485245195694844e-05,2637803
log1p_grant_delay_days,1way_class1,-0.2306196899942242,0.09070248786339259,-2.5425949764637275,0.011247663241000794,1656342
log1p_grant_delay_days,2way_class1_year,-0.2306196899942242,0.05092961021259454,-4.5282044969822595,0.0019289277600680332,1656342
log1p_backward_cites,1way_class1,-0.37844431408757495,0.10014414837249079,-3.778995779962438,0.00017268272354753478,2637803
log1p_backward_cites,2way_class1_year,-0.37844431408757495,0.12327186900337359,-3.0699973736685866,0.01534797128190002,2637803
log1p_reject_cites,1way_class1,-0.46382363745467786,0.10219413451394697,-4.53865223929635,6.803488774353994e-06,2637803
log1p_reject_cites,2way_class1_year,-0.46382363745467786,0.10735812432974953,-4.320340359431464,0.0025449011601965665,2637803
log1p_forward_cites,1way_class1,0.22377618493555396,0.07293377788135696,3.068210525164016,0.0022475498910674574,2637803
log1p_forward_cites,2way_class1_year,0.22377618493555396,0.03808598282022518,5.8755523256897515,0.0003718659018339121,2637803
log1p_inventor_count,1way_class1,0.15705262646251864,0.05297272825550383,2.964782665242487,0.00314552981124816,2637803
log1p_inventor_count,2way_class1_year,0.15705262646251864,0.03646893698651213,4.306476674124169,0.002592965576668993,2637803
log1p_applicant_count,1way_class1,-0.021196932726163433,0.004806780038154584,-4.409798775460786,1.2200191067845978e-05,2637803
log1p_applicant_count,2way_class1_year,-0.021196932726163433,0.00442016262014783,-4.795509701282102,0.001363339874274061,2637803
has_reject_cite,1way_class1,-0.24167477635764315,0.05833809258606687,-4.142658178292297,3.91040817944166e-05,2637803
has_reject_cite,2way_class1_year,-0.24167477635764315,0.03268144054690332,-7.394863026640442,7.657079961109758e-05,2637803
